owner,year,weekday,hour_local,plays,pct_of_owner_year
Or,2021,Thursday,0,8,0.07
Or,2021,Thursday,1,6,0.05
Or,2021,Thursday,2,13,0.11
Or,2021,Thursday,3,4,0.03
Or,2021,Thursday,5,19,0.16
Or,2021,Thursday,6,30,0.25
Or,2021,Thursday,7,132,1.1
Or,2021,Thursday,8,96,0.8
Or,2021,Thursday,9,138,1.15
Or,2021,Thursday,10,93,0.78
Or,2021,Thursday,11,116,0.97
Or,2021,Thursday,12,143,1.19
Or,2021,Thursday,13,50,0.42
Or,2021,Thursday,14,180,1.5
Or,2021,Thursday,15,138,1.15
Or,2021,Thursday,16,103,0.86
Or,2021,Thursday,17,110,0.92
Or,2021,Thursday,18,78,0.65
Or,2021,Thursday,19,163,1.36
Or,2021,Thursday,20,148,1.24
Or,2021,Thursday,21,41,0.34
Or,2021,Thursday,22,49,0.41
Or,2021,Thursday,23,32,0.27
Or,2021,Tuesday,0,6,0.05
Or,2021,Tuesday,6,12,0.1
Or,2021,Tuesday,7,108,0.9
Or,2021,Tuesday,8,117,0.98
Or,2021,Tuesday,9,93,0.78
Or,2021,Tuesday,10,78,0.65
Or,2021,Tuesday,11,62,0.52
Or,2021,Tuesday,12,74,0.62
Or,2021,Tuesday,13,90,0.75
Or,2021,Tuesday,14,105,0.88
Or,2021,Tuesday,15,51,0.43
Or,2021,Tuesday,16,18,0.15
Or,2021,Tuesday,17,43,0.36
Or,2021,Tuesday,18,22,0.18
Or,2021,Tuesday,19,29,0.24
Or,2021,Tuesday,20,50,0.42
Or,2021,Tuesday,21,76,0.63
Or,2021,Tuesday,22,38,0.32
Or,2021,Tuesday,23,21,0.18
Or,2021,Wednesday,0,25,0.21
Or,2021,Wednesday,5,41,0.34
Or,2021,Wednesday,6,36,0.3
Or,2021,Wednesday,7,161,1.34
Or,2021,Wednesday,8,100,0.83
Or,2021,Wednesday,9,96,0.8
Or,2021,Wednesday,10,83,0.69
Or,2021,Wednesday,11,51,0.43
Or,2021,Wednesday,12,52,0.43
Or,2021,Wednesday,13,36,0.3
Or,2021,Wednesday,14,56,0.47
Or,2021,Wednesday,15,71,0.59
Or,2021,Wednesday,16,67,0.56
Or,2021,Wednesday,17,43,0.36
Or,2021,Wednesday,18,51,0.43
Or,2021,Wednesday,19,62,0.52
Or,2021,Wednesday,20,32,0.27
Or,2021,Wednesday,21,18,0.15
Or,2021,Wednesday,22,2,0.02
Or,2022,Friday,0,14,0.11
Or,2022,Friday,4,17,0.13
Or,2022,Friday,6,89,0.7
Or,2022,Friday,7,112,0.89
Or,2022,Friday,8,343,2.72
Or,2022,Friday,9,226,1.79
Or,2022,Friday,10,125,0.99
Or,2022,Friday,11,98,0.78
Or,2022,Friday,12,114,0.9
Or,2022,Friday,13,143,1.13
Or,2022,Friday,14,56,0.44
Or,2022,Friday,15,44,0.35
Or,2022,Friday,16,100,0.79
Or,2022,Friday,17,103,0.82
Or,2022,Friday,18,110,0.87
Or,2022,Friday,19,28,0.22
Or,2022,Friday,20,51,0.4
Or,2022,Friday,21,74,0.59
Or,2022,Friday,22,25,0.2
Or,2022,Friday,23,167,1.32
Or,2022,Monday,0,20,0.16
Or,2022,Monday,1,30,0.24
Or,2022,Monday,5,28,0.22
Or,2022,Monday,6,101,0.8
Or,2022,Monday,7,244,1.93
Or,2022,Monday,8,181,1.43
Or,2022,Monday,9,301,2.38
Or,2022,Monday,10,233,1.84
Or,2022,Monday,11,103,0.82
Or,2022,Monday,12,90,0.71
Or,2022,Monday,13,158,1.25
Or,2022,Monday,14,91,0.72
Or,2022,Monday,15,55,0.44
